manufacturer,name,category,subcategory,gwp_total,gwp_use_ratio,yearly_tec,lifetime,use_location,report_date,sources,sources_hash,gwp_error_ratio,gwp_manufacturing_ratio,weight,assembly_location,screen_size,server_type,hard_drive,memory,number_cpu,height,added_date,add_method,gwp_transport_ratio,,,,,,,,Annual Emission,Daily Emissions
Apple,14-inch MacBook Pro with 64GB,Workplace,Laptop,243,0.2,,3.5,WW,January 17 2023,https://www.apple.com/environment/pdf/products/notebooks/14-inch_MacBook_Pro_PER_Jan2023.pdf,e8daa3644a8d492ac5f151e4c1d6e1dd,,0.79,,,14,,64GB SSD,,,,23-02-2023,Apple Auto Parser,0.01,0.01,,,,,,,69.42857143,0.190215264
Apple,15-inch MacBook Pro (2.3GHz 8-core CPU) 512GB - 2019,Workplace,Laptop,385,0.19,,3,WW,19-Nov,https://www.apple.com/environment/pdf/products/notebooks/16-inch_MacBookPro_PER_Nov2019.pdf,a81c889a463ca1df8e3b81b8424fed7d,0,0.75,,,15,,SSD 512GB,,,,1/11/2020,Initial Parsing,0.05,,,,,,,,128.3333333,0.351598174
Apple,15-inch MacBook Pro (2.6GHz 6-core CPU) 256GB - 2019,Workplace,Laptop,352,0.19,,3,WW,19-Nov,https://www.apple.com/environment/pdf/products/notebooks/16-inch_MacBookPro_PER_Nov2019.pdf,a81c889a463ca1df8e3b81b8424fed7d,0,0.75,,,15,,SSD 256GB,,,,1/11/2020,Initial Parsing,0.05,,,,,,,,117.3333333,0.321461187
Apple,15-inch MacBook Pro with Retina display (2.2GHz CPU) 256GB - 2015,Workplace,Laptop,592,0.17,,3,WW,16-Oct,https://www.apple.com/environment/pdf/products/notebooks/15inchMBP_wRetinaDisplay_PER_2016.pdf,880a099b2f3127cc8b4b456fbb758fc6,0,0.79,,,15,,SSD 256GB,,,,27-05-2022,Manual,0.03,,,,,,,,197.3333333,0.540639269
Apple,16-inch MacBook Pro (2.3GHz 8-core CPU) 1TB - 2019,Workplace,Laptop,465,0.19,,3,WW,19-Nov,https://www.apple.com/environment/pdf/products/notebooks/16-inch_MacBookPro_PER_Nov2019.pdf,a81c889a463ca1df8e3b81b8424fed7d,0,0.75,,,16,,SSD 1024GB,,,,1/11/2020,Initial Parsing,0.05,,,,,,,,155,0.424657534
Apple,16-inch MacBook Pro (2.6GHz 6-core CPU) 512GB - 2019,Workplace,Laptop,394,0.19,,3,WW,19-Nov,https://www.apple.com/environment/pdf/products/notebooks/16-inch_MacBookPro_PER_Nov2019.pdf,a81c889a463ca1df8e3b81b8424fed7d,0,0.75,,,16,,SSD 512GB,,,,1/11/2020,Initial Parsing,0.05,,,,,,,,131.3333333,0.359817352
Apple,16-inch MacBook Pro (M1 Max 10-core CPU and 32-core GPU) 1TB - 2021,Workplace,Laptop,395,0.27,,3,WW,21-Oct,https://www.apple.com/environment/pdf/products/notebooks/16-inch_MacBook_Pro_PER_Oct2021.pdf,5ae1b213c7dc2ed43e442a1143f4ac23,0,0.66,,,16,,1024GB,,,,20-01-2022,Manual,0.06,,,,,,,,131.6666667,0.360730594
Apple,16-inch MacBook Pro (M1 Pro 10-core CPU and 16-core GPU) 1TB - 2021,Workplace,Laptop,382,0.27,,3,WW,21-Oct,https://www.apple.com/environment/pdf/products/notebooks/16-inch_MacBook_Pro_PER_Oct2021.pdf,5ae1b213c7dc2ed43e442a1143f4ac23,0,0.66,,,16,,1024GB,,,,20-01-2022,Manual,0.05,,,,,,,,127.3333333,0.348858447
Apple,16-inch MacBook Pro (M1 Pro 10-core CPU and 16-core GPU) 512GB - 2021,Workplace,Laptop,349,0.27,,3,WW,21-Oct,https://www.apple.com/environment/pdf/products/notebooks/16-inch_MacBook_Pro_PER_Oct2021.pdf,5ae1b213c7dc2ed43e442a1143f4ac23,0,0.66,,,16,,512GB,,,,20-01-2022,Manual,0.06,,,,,,,,116.3333333,0.318721461
Apple,16-inch MacBook Pro with 64GB,Workplace,Laptop,300,0.25,,3.5,WW,January 17 2023,https://www.apple.com/environment/pdf/products/notebooks/16-inch_MacBook_Pro_PER_Jan2023.pdf,d9f193d98d71731bb6f3009453dd510a,,0.74,,,16,,64GB SSD,,,,23-02-2023,Apple Auto Parser,0.01,0.01,,,,,,,85.71428571,0.234833659
